Numero de muestra;Valor original;Valor filtrado
71;0.0000610370;-0.0000536729
72;-0.0000610370;-0.0000459415
73;-0.0000305185;-0.0000387173
74;-0.0001525925;-0.0000323059
75;0.0000610370;-0.0000269804
76;-0.0001525925;-0.0000229670
77;0.0000610370;-0.0000204318
78;0.0001525925;-0.0000194714
79;-0.0000915555;-0.0000201067
80;-0.0001220740;-0.0000222811
81;-0.0000610370;-0.0000258634
82;0.0000610370;-0.0000306538
83;0.0000000000;-0.0000363949
84;0.0000305185;-0.0000427844
85;-0.0000610370;-0.0000494910
86;-0.0002441481;-0.0000561709
87;0.0000000000;-0.0000624851
88;-0.0000915555;-0.0000681161
89;-0.0000610370;-0.0000727830
90;0.0000610370;-0.0000762549
91;0.0000000000;-0.0000783607
92;0.0001220740;-0.0000789977
93;-0.0000915555;-0.0000781345
94;0.0000610370;-0.0000758128
95;-0.0000915555;-0.0000721435
96;0.0000610370;-0.0000673008
97;0.0000610370;-0.0000615119
98;0.0000305185;-0.0000550439
99;-0.0000915555;-0.0000481889
100;0.0000000000;-0.0000412473
101;-0.0000610370;-0.0000345109
102;-0.0002441481;-0.0000282474
103;-0.0000610370;-0.0000226852
104;-0.0000915555;-0.0000180029
105;-0.0000305185;-0.0000143206
106;-0.0000915555;-0.0000116965
107;0.0000610370;-0.0000101271
108;0.0000000000;-0.0000095522
109;0.0000610370;-0.0000098638
110;-0.0002441481;-0.0000109175
111;-0.0000915555;-0.0000125462
112;-0.0000915555;-0.0000145741
113;-0.0002441481;-0.0000168298
114;0.0000305185;-0.0000191582
115;-0.0001831111;-0.0000214294
116;0.0001831111;-0.0000235448
117;-0.0000610370;-0.0000254411
118;0.0000610370;-0.0000270908
119;-0.0000610370;-0.0000285008
120;-0.0002746666;-0.0000297093
121;0.0000000000;-0.0000307793
122;-0.0001831111;-0.0000317923
123;-0.0001525925;-0.0000328395
124;-0.0000610370;-0.0000340129
125;-0.0000610370;-0.0000353967
126;-0.0000305185;-0.0000370593
127;-0.0000305185;-0.0000390475
128;0.0001831111;-0.0000413827
129;0.0000305185;-0.0000440593
130;-0.0001831111;-0.0000470459
131;0.0002136296;-0.0000502882
132;0.0000000000;-0.0000537130
133;0.0000915555;-0.0000572332
134;-0.0000305185;-0.0000607524
135;-0.0001831111;-0.0000641692
136;-0.0000305185;-0.0000673807
137;0.0001831111;-0.0000702848
138;0.0001220740;-0.0000727827
139;-0.0003662221;-0.0000747796
140;-0.0002136296;-0.0000761868
141;-0.0001525925;-0.0000769231
142;0.0000000000;-0.0000769177
143;0.0000000000;-0.0000761122
144;-0.0000610370;-0.0000744657
145;-0.0001220740;-0.0000719579
146;-0.0000305185;-0.0000685950
147;-0.0001525925;-0.0000644143
148;-0.0003357036;-0.0000594878
149;-0.0000305185;-0.0000539256
